node1,node2
9782,9991
92014,939
91452,9218
91452,9217
9060,9061
90589,9453
90441,9752
9040,9318
89849,9474
8975,9985
89,9124
8872,8894
88,9124
873,874
87,9124
864,865
8613,8794
861,865
860,865
8513,90678
9113,92597
8495,9342
84654,8924
8447,8448
85406,93185
84324,85406
84254,9710
84236,91445
84218,84292
84127,92017
84126,970
8412,9564
83884,91369
8382,9070
8382,84332
837,9912
8348,8575
83394,9793
83394,9218
83394,9217
8216,9829
81932,9361
81620,890
816,818
81573,8788
81551,88455
81551,83696
81539,939
81,9124
8087,9513
80851,9230
8835,9616
80329,944
80301,832
80301,830
80301,829
80264,92609
80223,9230
80223,8766
80223,84957
85366,8986
8317,84717
80174,8317
80150,9111
79982,9427
79969,8925
7994,84289
79886,8227
79801,92822
9732,9844
79725,79734
79736,84078
79621,84153
79598,8704
7957,8987
79228,9984
79228,84321
79853,972
79853,83693
79026,8985
783,784
7756,9184
7750,79149
7741,81559
7417,8562
79609,80700
7391,8061
7391,7392
7390,8726
80222,84292
7385,80142
7384,80142
8237,9338
7374,7386
7347,81570
7334,7335
7318,9636
729515,9725
7288,9361
728689,8668
728689,8663
728489,9370
728489,79763
728489,79751
7268,728071
7247,7257
7189,9342
7189,79036
7169,7171
7169,7170
7134,90007
7134,7136
7030,7942
7020,83741
7013,8658
701,991
701,9184
699,9184
7110,79036
6928,84105
6903,91433
6867,9217
6867,90417
6867,79036
6840,832
6799,6818
6799,6817
6756,83988
6729,6730
6728,6730
6713,79669
6660,9580
6660,91369
6660,6664
6647,9973
83443,90324
83443,84844
6626,6638
6626,6637
6626,6636
6626,6635
6626,6631
6626,6628
6611,8270
9107,9108
6573,8794
90,91
6543,6547
6535,728
6518,9926
6517,90488
6517,79868
65082,9895
65082,9392
65010,8794
64864,8625
64773,9361
6477,6478
7862,84289
64766,91523
64601,9895
64601,9392
64601,83648
64599,9470
6456,6457
64506,8189
8600,9527
9140,9474
9140,9363
643246,64422
6428,6432
642,83594
64146,7386
64112,9240
64105,64946
64077,84064
63948,81559
63941,9546
63917,93436
63916,9844
63916,80005
63916,79767
6391,6392
63908,8674
631,8419
6296,92369
6233,90326
79959,90557
6198,8266
8563,9984
80145,9984
80145,84321
6169,64981
6165,8575
6164,8575
6144,8575
6144,6430
84186,9045
84186,8575
6118,6119
8567,91683
8193,9274
60492,63933
84643,9859
6048,91304
6038,6050
6035,6050
60314,79269
6019,9049
6018,81559
5994,8625
5993,8625
5993,5994
63922,79075
5982,79075
5982,5985
5982,5984
5967,5968
5962,7430
5962,6182
594855,9391
5936,8575
5936,83759
5936,6175
5936,6166
5936,6130
79177,9260
79177,9189
5920,652968
5919,8744
5906,5910
5892,7516
5887,84993
5887,7508
5879,6009
5879,5910
63932,79786
58506,6431
58506,6175
5832,5899
5829,5876
5827,6505
79714,90273
5784,9260
5782,9404
5781,9338
5927,5931
57727,9991
83605,9270
83605,889
83605,84687
57693,6137
57693,6122
57606,9793
57605,9218
57605,9217
57545,80776
57545,79600
57544,80020
57544,7130
57498,9213
57498,8788
57482,832
79831,970
79831,91433
79831,81576
57396,6431
5725,84962
572,598
572,596
57187,9984
57187,84321
57187,6182
57168,8703
57153,6102
810,9844
810,9470
57111,9230
57095,79726
57057,9096
56996,84885
56996,83795
56996,79669
56996,653166
56995,8065
56994,93377
56994,728
56981,79036
6314,6883
56947,8740
56931,6301
56917,80714
56904,79874
56897,9370
56891,7082
5720,5721
5694,5695
5693,5698
5693,5695
5688,56984
5688,5698
5688,5696
5688,5695
5688,5692
5688,5691
5688,5690
5688,5689
5687,5698
5687,5696
5687,5695
5687,5692
5687,5691
5687,5690
5687,5689
5684,56984
5684,5698
5684,5696
5684,5695
5684,5692
5684,5691
5684,5690
5684,5689
5684,5686
5672,5680
56647,65108
56521,7166
5645,5646
56344,58472
5630,81493
56287,84861
56172,57613
56131,56132
56128,56132
56127,56132
56126,56132
56124,56129
56123,56132
56107,56112
56108,56110
56106,56111
56106,56108
56102,56103
56101,56103
56100,56103
56099,56103
6300,91807
5603,6300
5600,9261
5600,7867
79058,92799
79058,84908
55968,84923
55968,79058
55968,7415
5597,8550
55902,5634
55872,84330
55870,8242
84883,9397
55858,56928
55852,84553
5585,81892
60673,9821
60673,9776
60673,8408
56254,9810
55840,80237
55818,9338
55783,6638
55783,6637
55783,6636
55783,6635
55783,6631
55783,6628
55783,6625
55781,6217
55773,57823
55751,8794
55748,84735
84250,925
55719,84250
55719,56160
55717,8270
55717,81858
55717,64149
55691,9267
55677,84717
79754,9616
79754,8065
55638,84062
66036,93974
66036,9108
66036,9107
55613,66036
7884,84129
55608,91039
55604,832
55604,830
55599,8233
55599,6638
55599,6637
55599,6636
55599,6635
55599,55954
55591,7434
55561,83648
79441,9921
55553,9580
85450,910
55471,7386
55359,92667
55359,91304
55359,55662
55356,9217
90506,90678
55341,9218
55341,9217
55336,6500
80208,9907
80208,9532
80208,91056
55745,91056
55745,80208
7745,8575
55294,7186
57192,8459
55260,55630
55252,8314
55236,9246
55224,55666
55702,6419
55223,9342
55223,55702
6317,80262
6317,6318
55204,57089
55176,93377
55163,7978
55160,9639
55148,8968
55148,8358
55142,55559
55125,6790
55122,84220
55122,79647
55122,727851
55122,5683
55122,55705
55118,8607
5509,8987
7325,9958
55057,55247
55049,5719
55049,5713
55038,55844
55038,5522
55038,5521
55038,5520
55038,5519
55038,5518
55038,5516
55038,5515
55034,7923
56252,57692
54996,5824
54984,9982
54984,6122
54976,5501
54973,55756
54962,8914
54962,8318
56144,56147
54952,55015
54949,6389
54946,84885
54926,997
5984,79075
5984,63922
5984,5985
54921,79075
54921,5985
54921,5984
54903,80776
54903,79600
54903,79583
549,7386
549,55268
54894,91663
54887,8576
54887,57669
54861,815
57585,8336
9322,9912
54851,9322
54851,63943
54851,55662
54843,5874
54843,5873
54832,9367
54832,9217
54832,91543
54832,85329
54832,84932
65980,9274
65980,6602
57118,810
57118,808
54814,5824
54814,57118
5481,57060
55075,84940
54769,5910
54764,64081
54762,65983
54762,57476
54660,56132
54822,9342
54822,79874
54619,64689
54550,79699
54550,79269
54518,57475
54504,91624
54504,81628
54499,56928
54495,8906
54462,81565
5440,81488
55197,81488
55197,58490
6009,954
5424,57804
5424,5425
54149,60592
5427,56655
54097,9777
5408,80153
5408,55802
54059,9607
5372,54870
5372,5373
5367,9528
5367,57448
57167,9219
57167,9112
57167,8932
57167,57459
54830,9818
54830,8473
5336,7355
5316,80714
5293,8503
5292,80153
5292,55802
5291,8503
5290,8503
5267,821
5260,5261
5257,758
5257,5261
5256,758
5256,5261
5256,5260
5256,5257
5230,5232
5223,669
5223,5224
55884,9616
55884,8065
55884,79753
56181,6182
5198,9329
51809,9427
51809,7905
5173,84129
9475,9533
55437,6794
51719,81617
51719,79837
51719,6794
51719,55437
51665,9616
51665,8065
64785,9837
64785,8318
5164,91683
51639,90324
51639,84844
51639,6637
51639,6635
51639,6629
51639,6627
51622,80320
51622,79029
51622,782
51622,6208
51622,55709
51622,55337
5162,6776
55611,7884
55611,7325
55611,7324
55611,7322
55611,55662
55658,7917
5745,79934
5160,6776
51582,51686
5158,9575
51571,81553
51569,79876
51567,9338
57715,84885
51559,9459
54955,79029
55275,9342
55275,7260
55275,682
55275,55610
51659,9837
51659,84296
51659,8318
51659,738
51659,7260
51659,64785
51659,6293
51659,55610
51659,55275
51542,7260
51542,55275
51542,51659
51537,65260
57132,9798
51531,85415
5152,9094
5151,9094
51506,79876
51506,65992
56259,6229
51497,7936
51497,7469
51495,56928
51479,55662
55740,7408
55740,57648
54915,84709
54915,6223
54915,6160
54915,6122
51441,54915
51426,79734
5565,57620
5565,5571
5564,57620
5564,5571
5563,5565
5563,5564
51422,57620
51422,5565
51422,5564
51422,5563
51422,5562
5142,5144
5141,8468
5141,5144
51384,7474
51384,64222
57465,9550
51375,8723
6183,65993
6183,64960
51360,51439
51327,9654
51322,9810
84307,84838
7593,9202
7593,83594
7593,8239
7589,9402
7589,9202
7589,80144
7579,92609
7579,80317
7579,7586
65983,9813
65983,79770
51278,55844
51278,5521
5925,7029
51256,7249
51256,7248
51237,84861
51227,5283
51510,51534
5119,51510
8289,9274
6604,9274
6604,8110
6604,6605
6603,9274
6603,8110
6603,6605
6599,9274
6599,8110
6599,6605
6599,6602
6599,6601
6598,9274
6598,8110
6598,6605
6598,6602
6598,6601
6597,9274
6597,8110
6597,6605
6597,6602
6597,6601
6595,9274
6595,8110
6595,6605
6595,6602
6595,6601
5977,9275
5977,9274
5977,86
5977,8289
5977,6605
5977,6604
5977,6603
5977,6602
5977,6601
5977,6599
5977,6598
5977,6597
5977,6595
5977,605
51185,8450
51177,832
51177,830
51177,829
51176,55170
55182,55906
51136,7905
51107,55630
51085,6945
64425,9533
64425,8631
7692,7818
57534,6259
51075,79669
51060,80213
5106,9361
5106,9202
55623,81890
55623,80324
55623,79727
55623,79691
51058,55623
51032,91369
51032,7337
51026,976
51026,57142
51024,64149
51024,53917
653440,832
653440,830
51012,51499
5097,92369
5097,6259
50937,5817
5093,55135
521,93974
521,522
513,527
513,522
513,515
