@id,n,r,r1,NCBI_id
8363,MATR3,ncbigene:9782,ncbigene,9782
8362,ZBTB40,ncbigene:9923,ncbigene,9923
8361,GAB2,ncbigene:9846,ncbigene,9846
8360,CYTIP,ncbigene:9595,ncbigene,9595
8359,PJA2,ncbigene:9867,ncbigene,9867
8358,SH3BP5,ncbigene:9467,ncbigene,9467
8357,PITPNM1,ncbigene:9600,ncbigene,9600
8356,SLC25A51,ncbigene:92014,ncbigene,92014
8355,ACVR2B,ncbigene:93,ncbigene,93
8354,CABLES1,ncbigene:91768,ncbigene,91768
8353,ACBD5,ncbigene:91452,ncbigene,91452
8352,PAPSS2,ncbigene:9060,ncbigene,9060
8351,ZNF625,ncbigene:90589,ncbigene,90589
8350,ZNF622,ncbigene:90441,ncbigene,90441
8349,UBE2M,ncbigene:9040,ncbigene,9040
8348,ATG16L2,ncbigene:89849,ncbigene,89849
8347,USP13,ncbigene:8975,ncbigene,8975
8346,ACTN3,ncbigene:89,ncbigene,89
8345,CDC123,ncbigene:8872,ncbigene,8872
8344,ACTN2,ncbigene:88,ncbigene,88
8343,TMEM94,ncbigene:9772,ncbigene,9772
8342,LAPTM4A,ncbigene:9741,ncbigene,9741
8341,CBR3,ncbigene:874,ncbigene,874
8340,CBR1,ncbigene:873,ncbigene,873
8339,ACTN1,ncbigene:87,ncbigene,87
8338,RUNX3,ncbigene:864,ncbigene,864
8337,SKAP2,ncbigene:8935,ncbigene,8935
8336,PLPP3,ncbigene:8613,ncbigene,8613
8335,RUNX1,ncbigene:861,ncbigene,861
8334,CBFB,ncbigene:865,ncbigene,865
8333,RUNX2,ncbigene:860,ncbigene,860
8332,LRSAM1,ncbigene:90678,ncbigene,90678
8331,LIPF,ncbigene:8513,ncbigene,8513
8330,LATS1,ncbigene:9113,ncbigene,9113
8329,PPFIBP2,ncbigene:8495,ncbigene,8495
8328,SCARB2,ncbigene:950,ncbigene,950
8327,SPZ1,ncbigene:84654,ncbigene,84654
8326,TPST1,ncbigene:8460,ncbigene,8460
8325,DOC2B,ncbigene:8447,ncbigene,8447
8324,DNAJC14,ncbigene:85406,ncbigene,85406
8323,SARNP,ncbigene:84324,ncbigene,84324
8322,KIAA0355,ncbigene:9710,ncbigene,9710
8321,CAMKK1,ncbigene:84254,ncbigene,84254
8320,CD8A,ncbigene:925,ncbigene,925
8319,RHBDD1,ncbigene:84236,ncbigene,84236
8318,TBC1D3F,ncbigene:84218,ncbigene,84218
8317,GTF2IRD1,ncbigene:9569,ncbigene,9569
8316,SNX29,ncbigene:92017,ncbigene,92017
8315,RUNDC2A,ncbigene:84127,ncbigene,84127
8314,ATRIP,ncbigene:84126,ncbigene,84126
8313,BCAR3,ncbigene:8412,ncbigene,8412
8312,SLC25A2,ncbigene:83884,ncbigene,83884
8311,DYDC2,ncbigene:84332,ncbigene,84332
8310,NME5,ncbigene:8382,ncbigene,8382
8309,PCDHA9,ncbigene:9752,ncbigene,9752
8308,PTER,ncbigene:9317,ncbigene,9317
8307,CASP4,ncbigene:837,ncbigene,837
8306,ITGB1BP1,ncbigene:9270,ncbigene,9270
8305,KRIT1,ncbigene:889,ncbigene,889
8304,H2BC17,ncbigene:8348,ncbigene,8348
8303,PITPNM3,ncbigene:83394,ncbigene,83394
8302,RCSD1,ncbigene:92241,ncbigene,92241
8301,NAA11,ncbigene:84779,ncbigene,84779
8300,CD99L2,ncbigene:83692,ncbigene,83692
8299,CAPNS1,ncbigene:826,ncbigene,826
8298,LZTR1,ncbigene:8216,ncbigene,8216
8297,HDHD3,ncbigene:81932,ncbigene,81932
8296,CDT1,ncbigene:81620,ncbigene,81620
8295,CAMK2B,ncbigene:816,ncbigene,816
8294,ANKRD13C,ncbigene:81573,ncbigene,81573
8293,KIF20B,ncbigene:9585,ncbigene,9585
8292,OFD1,ncbigene:8481,ncbigene,8481
8291,STMN4,ncbigene:81551,ncbigene,81551
8290,SNN,ncbigene:8303,ncbigene,8303
8289,SLC38A1,ncbigene:81539,ncbigene,81539
8288,ACTN4,ncbigene:81,ncbigene,81
8287,FXR1,ncbigene:8087,ncbigene,8087
8286,SH3BP5L,ncbigene:80851,ncbigene,80851
8285,SOCS5,ncbigene:9655,ncbigene,9655
8284,SOCS2,ncbigene:8835,ncbigene,8835
8283,ULBP1,ncbigene:80329,ncbigene,80329
8282,MON1A,ncbigene:84315,ncbigene,84315
8281,INTS14,ncbigene:81556,ncbigene,81556
8280,PLEKHO2,ncbigene:80301,ncbigene,80301
8279,LZTS3,ncbigene:9762,ncbigene,9762
8278,ZNF430,ncbigene:80264,ncbigene,80264
8277,RAB11FIP1,ncbigene:80223,ncbigene,80223
8276,TM2D2,ncbigene:83877,ncbigene,83877
8275,MYLK2,ncbigene:85366,ncbigene,85366
8274,MYL10,ncbigene:93408,ncbigene,93408
8273,CDC7,ncbigene:8317,ncbigene,8317
8272,DBF4B,ncbigene:80174,ncbigene,80174
8271,ASRGL1,ncbigene:80150,ncbigene,80150
8270,COX7A2L,ncbigene:9167,ncbigene,9167
8269,NPEPPS,ncbigene:9520,ncbigene,9520
8268,DNAJB14,ncbigene:79982,ncbigene,79982
8267,ATAT1,ncbigene:79969,ncbigene,79969
8266,KAT6A,ncbigene:7994,ncbigene,7994
8265,CAAP1,ncbigene:79886,ncbigene,79886
8264,SHCBP1,ncbigene:79801,ncbigene,79801
8263,DOCK4,ncbigene:9732,ncbigene,9732
8262,THAP9,ncbigene:79725,ncbigene,79725
8261,TEFM,ncbigene:79736,ncbigene,79736
8260,RNASEH2B,ncbigene:79621,ncbigene,79621
8259,CEP97,ncbigene:79598,ncbigene,79598
8258,EPM2A,ncbigene:7957,ncbigene,7957
8257,THOC6,ncbigene:79228,ncbigene,79228
8256,TM4SF20,ncbigene:79853,ncbigene,79853
8255,TRPM3,ncbigene:80036,ncbigene,80036
8254,NAV2,ncbigene:89797,ncbigene,89797
8253,ACTRT3,ncbigene:84517,ncbigene,84517
8252,AHNAK,ncbigene:79026,ncbigene,79026
8251,CACNB4,ncbigene:785,ncbigene,785
8250,CACNB2,ncbigene:783,ncbigene,783
8249,DIRAS3,ncbigene:9077,ncbigene,9077
8248,ZNF207,ncbigene:7756,ncbigene,7756
8247,ZMYM2,ncbigene:7750,ncbigene,7750
8246,ZSCAN26,ncbigene:7741,ncbigene,7741
8245,RIMS3,ncbigene:9783,ncbigene,9783
8244,NUDT16L1,ncbigene:84309,ncbigene,84309
8243,VDAC2,ncbigene:7417,ncbigene,7417
8242,UBXN6,ncbigene:80700,ncbigene,80700
8241,VCPKMT,ncbigene:79609,ncbigene,79609
8240,USF2,ncbigene:7392,ncbigene,7392
8239,USF1,ncbigene:7391,ncbigene,7391
8238,UROS,ncbigene:7390,ncbigene,7390
8237,LYRM7,ncbigene:90624,ncbigene,90624
8236,ABHD11,ncbigene:83451,ncbigene,83451
8235,CLPP,ncbigene:8192,ncbigene,8192
8234,TARS2,ncbigene:80222,ncbigene,80222
8233,UQCRC2,ncbigene:7385,ncbigene,7385
8232,UQCRC1,ncbigene:7384,ncbigene,7384
8231,USP11,ncbigene:8237,ncbigene,8237
8230,UNG,ncbigene:7374,ncbigene,7374
8229,UCHL3,ncbigene:7347,ncbigene,7347
8228,UBE2V1,ncbigene:7335,ncbigene,7335
8227,UBE2N,ncbigene:7334,ncbigene,7334
8226,UBA7,ncbigene:7318,ncbigene,7318
8225,TMEM242,ncbigene:729515,ncbigene,729515
8224,TULP2,ncbigene:7288,ncbigene,7288
8223,EIF3CL,ncbigene:728689,ncbigene,728689
8222,DNLZ,ncbigene:728489,ncbigene,728489
8221,TTC4,ncbigene:7268,ncbigene,7268
8220,TSNAX,ncbigene:7257,ncbigene,7257
8219,TSN,ncbigene:7247,ncbigene,7247
8218,EFL1,ncbigene:79631,ncbigene,79631
8217,TRAF6,ncbigene:7189,ncbigene,7189
8216,TPM4,ncbigene:7171,ncbigene,7171
8215,TPM2,ncbigene:7169,ncbigene,7169
8214,TNNC1,ncbigene:7134,ncbigene,7134
8213,USP34,ncbigene:9736,ncbigene,9736
8212,TFE3,ncbigene:7030,ncbigene,7030
8211,TFAP2D,ncbigene:83741,ncbigene,83741
8210,TFAP2A,ncbigene:7020,ncbigene,7020
8209,TERF1,ncbigene:7013,ncbigene,7013
8208,BUB1B,ncbigene:701,ncbigene,701
8207,BUB1,ncbigene:699,ncbigene,699
8206,TMF1,ncbigene:7110,ncbigene,7110
8205,PLBD1,ncbigene:79887,ncbigene,79887
8204,HAND2,ncbigene:9464,ncbigene,9464
8203,HNF1B,ncbigene:6928,ncbigene,6928
8202,TBCC,ncbigene:6903,ncbigene,6903
8201,TACC1,ncbigene:6867,ncbigene,6867
8200,TMEM183A,ncbigene:92703,ncbigene,92703
8199,SVIL,ncbigene:6840,ncbigene,6840
8198,ISG20L2,ncbigene:81875,ncbigene,81875
8197,DPM1,ncbigene:8813,ncbigene,8813
8196,SULT1C2,ncbigene:6819,ncbigene,6819
8195,SULT1A2,ncbigene:6799,ncbigene,6799
8194,STRADA,ncbigene:92335,ncbigene,92335
8193,RASSF2,ncbigene:9770,ncbigene,9770
8192,CER1,ncbigene:9350,ncbigene,9350
8191,PDHX,ncbigene:8050,ncbigene,8050
8190,STAT5B,ncbigene:6777,ncbigene,6777
8189,SSX1,ncbigene:6756,ncbigene,6756
8188,SRP54,ncbigene:6729,ncbigene,6729
8187,SRP19,ncbigene:6728,ncbigene,6728
8186,SQLE,ncbigene:6713,ncbigene,6713
8185,SOX11,ncbigene:6664,ncbigene,6664
8184,SOX5,ncbigene:6660,ncbigene,6660
8183,CCS,ncbigene:9973,ncbigene,9973
8182,SOD1,ncbigene:6647,ncbigene,6647
8181,BNIP3L,ncbigene:665,ncbigene,665
8180,SF3B5,ncbigene:83443,ncbigene,83443
8179,PRKRIP1,ncbigene:79706,ncbigene,79706
8178,ICE2,ncbigene:79664,ncbigene,79664
8177,SNRPA,ncbigene:6626,ncbigene,6626
8176,OTULIN,ncbigene:90268,ncbigene,90268
8175,SNAPC4,ncbigene:6621,ncbigene,6621
8174,SNAPC3,ncbigene:6619,ncbigene,6619
8173,SNAPC2,ncbigene:6618,ncbigene,6618
8172,SMS,ncbigene:6611,ncbigene,6611
8171,MTMR7,ncbigene:9108,ncbigene,9108
8170,MTMR6,ncbigene:9107,ncbigene,9107
8169,PLEKHA8,ncbigene:84725,ncbigene,84725
8168,SLC19A1,ncbigene:6573,ncbigene,6573
8167,ACVR1,ncbigene:90,ncbigene,90
8166,JAGN1,ncbigene:84522,ncbigene,84522
8165,SLC8A3,ncbigene:6547,ncbigene,6547
8164,SLC8A2,ncbigene:6543,ncbigene,6543
8163,SLC6A8,ncbigene:6535,ncbigene,6535
8162,SLC2A5,ncbigene:6518,ncbigene,6518
8161,SLC2A4,ncbigene:6517,ncbigene,6517
8160,VPS33A,ncbigene:65082,ncbigene,65082
8159,ORMDL3,ncbigene:94103,ncbigene,94103
8158,NUMBL,ncbigene:9253,ncbigene,9253
8157,SLC26A6,ncbigene:65010,ncbigene,65010
8156,FBXO44,ncbigene:93611,ncbigene,93611
8155,DEDD,ncbigene:9191,ncbigene,9191
8154,CCNF,ncbigene:899,ncbigene,899
8153,FBH1,ncbigene:84893,ncbigene,84893
8152,KDM2B,ncbigene:84678,ncbigene,84678
8151,FBXO31,ncbigene:79791,ncbigene,79791
8150,LPIN2,ncbigene:9663,ncbigene,9663
8149,TIMD4,ncbigene:91937,ncbigene,91937
8148,RFX7,ncbigene:64864,ncbigene,64864
8147,SELENOF,ncbigene:9403,ncbigene,9403
8146,NIPSNAP1,ncbigene:8508,ncbigene,8508
8145,PCED1A,ncbigene:64773,ncbigene,64773
8144,SIAH2,ncbigene:6478,ncbigene,6478
8143,SIAH1,ncbigene:6477,ncbigene,6477
8142,BRPF1,ncbigene:7862,ncbigene,7862
8141,S100PBP,ncbigene:64766,ncbigene,64766
8140,VPS16,ncbigene:64601,ncbigene,64601
8139,GIGYF1,ncbigene:64599,ncbigene,64599
8138,SH3GL3,ncbigene:6457,ncbigene,6457
8137,SH3GL2,ncbigene:6456,ncbigene,6456
8136,CPEB1,ncbigene:64506,ncbigene,64506
8135,TNFSF11,ncbigene:8600,ncbigene,8600
8134,ATG12,ncbigene:9140,ncbigene,9140
8133,HOOK3,ncbigene:84376,ncbigene,84376
8132,FAM160A2,ncbigene:84067,ncbigene,84067
8131,FAM160A1,ncbigene:729830,ncbigene,729830
8130,TCF7L2,ncbigene:6934,ncbigene,6934
8129,MAP1LC3B2,ncbigene:643246,ncbigene,643246
8128,UBE2D3,ncbigene:7323,ncbigene,7323
8127,UBE2D1,ncbigene:7321,ncbigene,7321
8126,SRSF3,ncbigene:6428,ncbigene,6428
8125,BLMH,ncbigene:642,ncbigene,642
8124,DPEP3,ncbigene:64180,ncbigene,64180
8123,PDF,ncbigene:64146,ncbigene,64146
8122,MOAP1,ncbigene:64112,ncbigene,64112
8121,CENPK,ncbigene:64105,ncbigene,64105
8120,RECK,ncbigene:8434,ncbigene,8434
8119,HDHD2,ncbigene:84064,ncbigene,84064
8118,LHPP,ncbigene:64077,ncbigene,64077
8117,CBFA2T2,ncbigene:9139,ncbigene,9139
8116,CBFA2T3,ncbigene:863,ncbigene,863
8115,SEC16B,ncbigene:89866,ncbigene,89866
8114,WDR24,ncbigene:84219,ncbigene,84219
8113,SESN2,ncbigene:83667,ncbigene,83667
8112,DMRTB1,ncbigene:63948,ncbigene,63948
8111,NECAB3,ncbigene:63941,ncbigene,63941
8110,GALNT11,ncbigene:63917,ncbigene,63917
8109,ELMO2,ncbigene:63916,ncbigene,63916
8108,SDHC,ncbigene:6391,ncbigene,6391
8107,NAPB,ncbigene:63908,ncbigene,63908
8106,IFRD2,ncbigene:7866,ncbigene,7866
8105,SDHB,ncbigene:6390,ncbigene,6390
8104,METTL8,ncbigene:79828,ncbigene,79828
8103,ZNF518A,ncbigene:9849,ncbigene,9849
8102,ZNF106,ncbigene:64397,ncbigene,64397
8101,SERPINB4,ncbigene:6318,ncbigene,6318
8100,BFSP1,ncbigene:631,ncbigene,631
8099,MYLK3,ncbigene:91807,ncbigene,91807
8098,ZMYM1,ncbigene:79830,ncbigene,79830
8097,PTCD2,ncbigene:79810,ncbigene,79810
8096,ZNF146,ncbigene:7705,ncbigene,7705
8095,ACSM3,ncbigene:6296,ncbigene,6296
8094,RPS27A,ncbigene:6233,ncbigene,6233
8093,TBC1D17,ncbigene:79735,ncbigene,79735
8092,FRMD8,ncbigene:83786,ncbigene,83786
8091,H1-10,ncbigene:8971,ncbigene,8971
8090,CEP76,ncbigene:79959,ncbigene,79959
8089,RPS6KB1,ncbigene:6198,ncbigene,6198
8088,THOC5,ncbigene:8563,ncbigene,8563
8087,THOC7,ncbigene:80145,ncbigene,80145
8086,RPL38,ncbigene:6169,ncbigene,6169
8085,SETD6,ncbigene:79918,ncbigene,79918
8084,RPL35A,ncbigene:6165,ncbigene,6165
8083,RPL34,ncbigene:6164,ncbigene,6164
8082,RPS23,ncbigene:6228,ncbigene,6228
8081,RPL21,ncbigene:6144,ncbigene,6144
8080,ZNF16,ncbigene:7564,ncbigene,7564
8079,METTL18,ncbigene:92342,ncbigene,92342
8078,ZCCHC7,ncbigene:84186,ncbigene,84186
8077,GRWD1,ncbigene:83743,ncbigene,83743
8076,ZNF184,ncbigene:7738,ncbigene,7738
8075,RPA2,ncbigene:6118,ncbigene,6118
8074,ATG13,ncbigene:9776,ncbigene,9776
8073,ULK1,ncbigene:8408,ncbigene,8408
8072,FEZ1,ncbigene:9638,ncbigene,9638
8071,FEZ2,ncbigene:9637,ncbigene,9637
8070,MADD,ncbigene:8567,ncbigene,8567
8069,DPF1,ncbigene:8193,ncbigene,8193
8068,MCUR1,ncbigene:63933,ncbigene,63933
8067,CCDC90B,ncbigene:60492,ncbigene,60492
8066,KIF2B,ncbigene:84643,ncbigene,84643
8065,RNF5,ncbigene:6048,ncbigene,6048
8064,RNASE4,ncbigene:6038,ncbigene,6038
8063,RNASE1,ncbigene:6035,ncbigene,6035
8062,C12orf10,ncbigene:60314,ncbigene,60314
8061,RLN2,ncbigene:6019,ncbigene,6019
8060,RLF,ncbigene:6018,ncbigene,6018
8059,KIAA0100,ncbigene:9703,ncbigene,9703
8058,PPIAL4G,ncbigene:644591,ncbigene,644591
8057,RFXANK,ncbigene:8625,ncbigene,8625
8056,RFXAP,ncbigene:5994,ncbigene,5994
8055,RFX5,ncbigene:5993,ncbigene,5993
8054,BID,ncbigene:637,ncbigene,637
8053,CHTF18,ncbigene:63922,ncbigene,63922
8052,RFC2,ncbigene:5982,ncbigene,5982
8051,REG1B,ncbigene:5968,ncbigene,5968
8050,REG1A,ncbigene:5967,ncbigene,5967
8049,RDX,ncbigene:5962,ncbigene,5962
8048,CPLX3,ncbigene:594855,ncbigene,594855
8047,RBM4,ncbigene:5936,ncbigene,5936
8046,ZNF576,ncbigene:79177,ncbigene,79177
8045,KMT2D,ncbigene:8085,ncbigene,8085
8044,KDM6A,ncbigene:7403,ncbigene,7403
8043,CASTOR1,ncbigene:652968,ncbigene,652968
8042,PLAAT4,ncbigene:5920,ncbigene,5920
8041,RARRES2,ncbigene:5919,ncbigene,5919
8040,RAB34,ncbigene:83871,ncbigene,83871
8039,DNAL1,ncbigene:83544,ncbigene,83544
8038,RRAS,ncbigene:6237,ncbigene,6237
8037,RAP1A,ncbigene:5906,ncbigene,5906
8036,RAD51D,ncbigene:5892,ncbigene,5892
8035,RAD23B,ncbigene:5887,ncbigene,5887
8034,TNNT1,ncbigene:7138,ncbigene,7138
8033,RAC1,ncbigene:5879,ncbigene,5879
8032,FBXL20,ncbigene:84961,ncbigene,84961
8031,RAP2A,ncbigene:5911,ncbigene,5911
8030,PPP1R16A,ncbigene:84988,ncbigene,84988
8029,RPH3AL,ncbigene:9501,ncbigene,9501
8028,SYTL5,ncbigene:94122,ncbigene,94122
8027,SYTL3,ncbigene:94120,ncbigene,94120
8026,SYTL1,ncbigene:84958,ncbigene,84958
8025,MLPH,ncbigene:79083,ncbigene,79083
8024,CCDC102A,ncbigene:92922,ncbigene,92922
8023,SYTL4,ncbigene:94121,ncbigene,94121
8022,VWA5B2,ncbigene:90113,ncbigene,90113
8021,SDCBP,ncbigene:6386,ncbigene,6386
8020,CXorf56,ncbigene:63932,ncbigene,63932
8019,SCAF1,ncbigene:58506,ncbigene,58506
8018,PYGM,ncbigene:5837,ncbigene,5837
8017,ALDH18A1,ncbigene:5832,ncbigene,5832
