@id,n,NCBI_id
0,UBE2Q1,55585
1,RNF14,9604
2,UBE2Q2,92912
3,TMCO1,54499
4,UBAC1,10422
5,RAB4A,5867
6,ZNF706,51123
7,MIB2,142678
8,RNF114,55905
9,RNF115,27246
10,RNF111,54778
11,EEF1AKNMT,51603
12,UNKL,64718
13,MMAB,326625
14,UBE4A,9354
15,DDX41,51428
16,ATMIN,23300
17,TSG101,7251
18,FBXW11,23291
19,UBE2D4,51619
20,RPS27A,6233
21,UBE2D2,7322
22,ATP6V1H,51606
23,UBE2D1,7321
24,MFSD11,79157
25,CCT3,7203
26,LNX1,84708
27,MRFAP1L1,114932
28,GTF2B,2959
29,FBXL13,222235
30,FBXL12,54850
31,FBXL15,79176
32,FBXL14,144699
33,FBXL16,146330
34,FBXL19,54620
35,FBXL18,80028
36,CCDC51,79714
37,PPP1R11,6992
38,AKTIP,64400
39,RNF41,10193
40,ANAPC1,64682
41,ANAPC2,29882
42,ANAPC5,51433
43,ANAPC4,29945
44,ANAPC7,51434
45,ZNRF1,84937
46,LRR1,122769
47,ZNRF2,223082
48,FBXO30,84085
49,FBXO5,26271
50,FBXO32,114907
51,EMC7,56851
52,KLHL25,64410
53,KLHL21,9903
54,KLHL20,27252
55,KLHL22,84861
56,MKRN1,23608
57,SPSB2,84727
58,SPSB1,80176
59,TRIM50,135892
60,SPSB4,92369
61,ARF1,375
62,CDC34,997
63,AREL1,9870
64,LONRF1,91694
65,CIAO2B,51647
66,RNF25,64320
67,UBE2V1,7335
68,UBE2V2,7336
69,RNF26,79102
70,PSMD8,5714
71,LMO7,4008
72,MGRN1,23295
73,DHX8,1659
74,SPCS1,28972
75,ITCH,83737
76,PSMD4,5710
77,FLAD1,80308
78,CBLL2,158506
79,ARIH2,10425
80,TRIP12,9320
81,MEX3C,51320
82,E2F6,1876
83,SNW1,22938
84,PRCC,5546
85,C3AR1,719
86,BTRC,8945
87,TRIM11,81559
88,HUWE1,10075
89,UFC1,51506
90,LRRC41,10489
91,USP25,29761
92,MOAP1,64112
93,ASB2,51676
94,ASB1,51665
95,ASB6,140459
96,ASB7,140460
97,ASB4,51666
98,ASB5,140458
99,ASB8,140461
100,ASB9,140462
101,PIP4K2C,79837
102,ZMPSTE24,10269
103,MRPL34,64981
104,UBE2R2,54926
105,IMPA1,3612
106,RNF19B,127544
107,RNF19A,25897
108,RFX5,5993
109,TRAIP,10293
110,UBA52,7311
111,KAT7,11143
112,EXOSC7,23016
113,ADAR,103
114,STK24,8428
115,GPR161,23432
116,UBE2E1,7324
117,UBE2E3,10477
118,UBE2E2,7325
119,DLGAP3,58512
120,JTB,10899
121,TRIM9,114088
122,FBXL20,84961
123,TRIM4,89122
124,FBXW12,285231
125,PI4KB,5298
126,RNPEP,6051
127,ELOB,6923
128,FBXW8,26259
129,SKP2,6502
130,ZBTB16,7704
131,SKP1,6500
132,DEDD,9191
133,WDR26,80232
134,FBXW9,84261
135,FBXO21,23014
136,FBXO27,126433
137,HNRNPAB,3182
138,DDX19B,11269
139,FBXO28,23219
140,FBXW4,6468
141,FBXW5,54461
142,FBXW7,55294
143,KLHL11,55175
144,KLHL12,59349
145,LRSAM1,90678
146,SH3RF1,57630
147,CSTB,1476
148,GNB1,2782
149,UBE2D3,7323
150,TRIM69,140691
151,JOSD1,9929
152,TRIM63,84676
153,PIP5K1A,8394
154,KEAP1,9817
155,ATP6V0C,527
156,ERCC3,2071
157,RNF34,80196
158,TOR1A,1861
159,TOR1B,27348
160,RLIM,51132
161,TMEM248,55069
162,MFSD5,84975
163,PSME3,10197
164,KBTBD13,390594
165,DDX23,9416
166,ERP44,23071
167,ILF2,3608
168,ASB10,136371
169,UBE2J1,51465
170,UBE2J2,118424
171,WWP1,11059
172,BTBD1,53339
173,FBXO10,26267
174,FBXO17,115290
175,FBXO15,201456
176,ASB13,79754
177,CAPRIN1,4076
178,PPP1R7,5510
179,CERS2,29956
180,ASB17,127247
181,EIF4ENIF1,56478
182,CUL5,8065
183,CUL7,9820
184,CUL1,8454
185,CUL2,8453
186,CUL3,8452
187,TRIM27,5987
188,TRIM21,6737
189,IRF2BPL,64207
190,RNF138,51444
191,TOR1AIP1,26092
192,DZIP3,9666
193,RBBP6,5930
194,RNF182,221687
195,RBX1,9978
196,RNF217,154214
197,RNF213,57674
198,SLBP,7884
199,SMURF1,57154
200,UBE2F-SCLY,100533179
201,SMURF2,64750
202,CDC16,8881
203,UBAP2L,9898
204,RNF130,55819
205,B4GALT1,2683
206,B4GALT3,8703
207,PJA2,9867
208,RIC8A,60626
209,HERC1,8925
210,HERC3,8916
211,HERC2,8924
212,HERC5,51191
213,HERC4,26091
214,HERC6,55008
215,MRPL9,65005
216,UBE2I,7329
217,UBE2H,7328
218,UBE2K,3093
219,UBE2M,9040
220,UBE2O,63893
221,UBE2N,7334
222,UBE2A,7319
223,UBE2C,11065
224,UBE2B,7320
225,UBE2F,140739
226,UBA5,79876
227,RBCK1,10616
228,UBE2S,27338
229,UBE2U,148581
230,UBE2T,29089
231,UBE2W,55284
232,DPF2,5977
233,UBA1,7317
234,FBXO2,26232
235,FBXO4,26272
236,FBXO6,26270
237,FBXO7,25793
238,FBXO9,26268
239,HACE1,57531
240,SRPRB,58477
241,ASB11,140456
242,FHL3,2275
243,FBXO44,93611
244,FBXO41,150726
245,FBXO40,51725
246,NDUFA8,4702
247,DET1,55070
248,TP53,7157
249,MAEA,10296
250,TRIM71,131405
251,BIRC6,57448
252,PEX19,5824
253,MAP2K1,5604
254,ADPGK,83440
255,ANGEL2,90806
256,RCHY1,25898
257,LYPD3,27076
