node1,node2
10094,10109
uniprot_P05976-2,103910
3178,10236
3434,3437
3191,10236
3191,3178
uniprot_P16157-5,3684
3694,3688
6139,6129
3181,10236
3181,3178
3181,3191
6188,6129
6206,6175
6206,6129
6206,6139
6206,6188
498,506
5725,3191
6134,6129
6134,6206
3187,3178
3187,3191
3187,3181
3187,5725
6133,6129
6133,6139
6133,6188
6133,6206
4173,4172
4174,4172
4174,4173
4176,4172
4176,4173
4176,4174
2109,2108
6223,6129
6223,6139
6223,6206
6122,6129
6122,6139
6122,6188
6122,6206
6122,6134
6122,6133
6122,6223
1650,6185
23521,6129
23521,6206
23521,6122
6232,6139
6232,6206
6232,6223
6232,6122
11224,6139
11224,6206
11224,6223
11224,6122
11224,6232
9782,3178
9782,3191
9782,3181
9782,3187
6157,6129
6157,6206
6157,6133
6157,6122
6125,6129
6125,6139
6125,6206
6125,6134
6125,6133
6125,6223
6125,6122
6125,23521
6125,6232
6125,11224
6144,6129
6144,6139
6144,6206
6144,6134
6144,6133
6144,6223
6144,6122
6144,23521
6144,6232
6144,11224
6144,6125
6158,6129
6158,6206
6158,6133
6158,6122
6158,6157
6193,6129
6193,6139
6193,6206
6193,6133
6193,6223
6193,6122
6193,6232
6193,11224
6193,6125
6193,6144
6204,6139
6204,6206
6204,6223
6204,6122
6204,6232
6204,6125
6204,6144
6204,6193
539,506
539,498
6164,6129
4171,4172
4171,4173
4171,4174
4171,4176
10093,10109
10093,10094
4637,103910
4637,uniprot_P05976-2
6224,6157
10096,10109
10096,10094
10096,10093
10097,10109
10097,10094
10097,10093
10097,10096
6189,6129
6189,6139
6189,6188
6189,6206
6189,6134
6189,6133
6189,6223
6189,6122
6189,6157
6189,6125
6189,6144
6189,6158
6189,6193
6154,6129
6154,6206
6154,6223
6154,6122
6154,23521
6154,6125
6154,6144
6154,6158
6154,6189
6138,6129
6138,6206
6138,6133
6138,6122
6138,23521
6138,6157
6138,6125
6138,6158
6138,6154
6155,6157
6155,6158
uniprot_P61978-3,3178
uniprot_P61978-3,3191
uniprot_P61978-3,3181
uniprot_P61978-3,5725
uniprot_P61978-3,3187
uniprot_P61978-3,9782
6201,6129
6201,6139
6201,6206
6201,6134
6201,6133
6201,6223
6201,6122
6201,23521
6201,6232
6201,11224
6201,6125
6201,6144
6201,6193
6201,6204
6201,6189
6201,6154
6202,6129
6202,6188
6202,6206
