@id,n,r,id_type,gene_id,NCBI_id
0,ARPC3,uniprot:O15145,uniprot,O15145,10094
1,ARPC2,uniprot:O15144,uniprot,O15144,10109
2,MYL1,uniprot:P05976-2,uniprot,P05976-2,uniprot_P05976-2
3,MYL12B,uniprot:O14950,uniprot,O14950,103910
4,HNRNPA1,uniprot:P09651,uniprot,P09651,3178
5,HNRNPR,uniprot:O43390,uniprot,O43390,10236
6,IFIT1,uniprot:P09914,uniprot,P09914,3434
7,IFIT3,uniprot:O14879,uniprot,O14879,3437
8,HNRNPL,uniprot:P14866,uniprot,P14866,3191
9,ANK1,uniprot:P16157-5,uniprot,P16157-5,uniprot_P16157-5
10,ITGAM,uniprot:P11215,uniprot,P11215,3684
11,ITGB6,uniprot:P18564,uniprot,P18564,3694
12,ITGB1,uniprot:P05556,uniprot,P05556,3688
13,RPL17,uniprot:P18621,uniprot,P18621,6139
14,RPL7,uniprot:P18124,uniprot,P18124,6129
15,HNRNPA2B1,uniprot:P22626,uniprot,P22626,3181
16,RPS3,uniprot:P23396,uniprot,P23396,6188
17,RPS12,uniprot:P25398,uniprot,P25398,6206
18,RPLP0,uniprot:P05388,uniprot,P05388,6175
19,ATP5F1A,uniprot:P25705,uniprot,P25705,498
20,ATP5F1B,uniprot:P06576,uniprot,P06576,506
21,PTBP1,uniprot:P26599,uniprot,P26599,5725
22,RPL10,uniprot:P27635,uniprot,P27635,6134
23,HNRNPH1,uniprot:P31943,uniprot,P31943,3187
24,RPL9,uniprot:P32969,uniprot,P32969,6133
25,MCM4,uniprot:P33991,uniprot,P33991,4173
26,MCM3,uniprot:P25205,uniprot,P25205,4172
27,MCM5,uniprot:P33992,uniprot,P33992,4174
28,MCM7,uniprot:P33993,uniprot,P33993,4176
29,ETFB,uniprot:P38117,uniprot,P38117,2109
30,ETFA,uniprot:P13804,uniprot,P13804,2108
31,RPS19,uniprot:P39019,uniprot,P39019,6223
32,RPL3,uniprot:P39023,uniprot,P39023,6122
33,DDOST,uniprot:P39656,uniprot,P39656,1650
34,RPN2,uniprot:P04844,uniprot,P04844,6185
35,RPL13A,uniprot:P40429,uniprot,P40429,23521
36,RPS27,uniprot:P42677,uniprot,P42677,6232
37,RPL35,uniprot:P42766,uniprot,P42766,11224
38,MATR3,uniprot:P43243,uniprot,P43243,9782
39,RPL27A,uniprot:P46776,uniprot,P46776,6157
40,RPL5,uniprot:P46777,uniprot,P46777,6125
41,RPL21,uniprot:P46778,uniprot,P46778,6144
42,RPL28,uniprot:P46779,uniprot,P46779,6158
43,RPS5,uniprot:P46782,uniprot,P46782,6193
44,RPS10,uniprot:P46783,uniprot,P46783,6204
45,ATP5PO,uniprot:P48047,uniprot,P48047,539
46,RPL34,uniprot:P49207,uniprot,P49207,6164
47,MCM2,uniprot:P49736,uniprot,P49736,4171
48,ARPC4,uniprot:P59998,uniprot,P59998,10093
49,MYL6,uniprot:P60660,uniprot,P60660,4637
50,RPS20,uniprot:P60866,uniprot,P60866,6224
51,ACTR3,uniprot:P61158,uniprot,P61158,10096
52,ACTR2,uniprot:P61160,uniprot,P61160,10097
53,RPS3A,uniprot:P61247,uniprot,P61247,6189
54,RPL26,uniprot:P61254,uniprot,P61254,6154
55,RPL15,uniprot:P61313,uniprot,P61313,6138
56,RPL27,uniprot:P61353,uniprot,P61353,6155
57,HNRNPK,uniprot:P61978-3,uniprot,P61978-3,uniprot_P61978-3
58,RPS7,uniprot:P62081,uniprot,P62081,6201
59,RPS8,uniprot:P62241,uniprot,P62241,6202
60,RPS15A,uniprot:P62244,uniprot,P62244,6210
61,RPS16,uniprot:P62249,uniprot,P62249,6217
62,RPS14,uniprot:P62263,uniprot,P62263,6208
63,RPS18,uniprot:P62269,uniprot,P62269,6222
64,RPS29,uniprot:P62273,uniprot,P62273,6235
65,RPS13,uniprot:P62277,uniprot,P62277,6207
66,RPS11,uniprot:P62280,uniprot,P62280,6205
67,RPL7A,uniprot:P62424,uniprot,P62424,6130
68,RPS4X,uniprot:P62701,uniprot,P62701,6191
69,RPL23A,uniprot:P62750,uniprot,P62750,6147
70,RPS6,uniprot:P62753,uniprot,P62753,6194
71,RPL23,uniprot:P62829,uniprot,P62829,9349
72,RPS24,uniprot:P62847,uniprot,P62847,6229
73,RPS25,uniprot:P62851,uniprot,P62851,6230
74,RPS26,uniprot:P62854,uniprot,P62854,6231
75,FAU,uniprot:P62861,uniprot,P62861,uniprot_P62861
76,RPL10A,uniprot:P62906,uniprot,P62906,4736
77,RPL11,uniprot:P62913,uniprot,P62913,6135
78,RPL8,uniprot:P62917,uniprot,P62917,6132
79,RACK1,uniprot:P63244,uniprot,P63244,10399
80,ACTC1,uniprot:P68032,uniprot,P68032,70
81,ACTB,uniprot:P60709,uniprot,P60709,60
82,ERH,uniprot:P84090,uniprot,P84090,2079
83,RPL19,uniprot:P84098,uniprot,P84098,6143
84,RPL18A,uniprot:Q02543,uniprot,Q02543,6142
85,RPL6,uniprot:Q02878,uniprot,Q02878,6128
86,SRSF1,uniprot:Q07955,uniprot,Q07955,6426
87,DDX39B,uniprot:Q13838,uniprot,Q13838,7919
88,FHL2,uniprot:Q14192,uniprot,Q14192,2274
89,NNMT,uniprot:P40261,uniprot,P40261,4837
90,MCM6,uniprot:Q14566,uniprot,Q14566,4175
91,ELAVL1,uniprot:Q15717,uniprot,Q15717,1994
