@id,n,r,id_type,gene_id,NCBI_id
0,ARF5,uniprot:P84085,uniprot,P84085,381
1,SPTBN2,uniprot:O15020,uniprot,O15020,6712
2,KIF13B,uniprot:Q9NQT8,uniprot,Q9NQT8,23303
3,AP1B1,uniprot:Q10567,uniprot,Q10567,162
4,KIF21A,uniprot:Q7Z4S6,uniprot,Q7Z4S6,55605
5,TMED7,uniprot:Q9Y3B3,uniprot,Q9Y3B3,100302736
6,ARFGAP1,uniprot:Q8N6T3,uniprot,Q8N6T3,55738
7,ANK2,uniprot:Q01484,uniprot,Q01484,287
8,KLC1,uniprot:Q07866,uniprot,Q07866,3831
9,COPZ2,uniprot:Q9P299,uniprot,Q9P299,51226
10,KIF15,uniprot:Q9NS87,uniprot,Q9NS87,56992
11,DCTN5,uniprot:Q9BTE1,uniprot,Q9BTE1,84516
12,KIF2B,uniprot:Q8N4N8,uniprot,Q8N4N8,84643
13,KIF16B,uniprot:Q96L93,uniprot,Q96L93,55614
14,KIF25,uniprot:Q9UIL4,uniprot,Q9UIL4,3834
15,KDELR2,uniprot:P33947,uniprot,P33947,11014
16,RAB1B,uniprot:Q9H0U4,uniprot,Q9H0U4,81876
17,TMED10,uniprot:P49755,uniprot,P49755,10972
18,KIF3B,uniprot:O15066,uniprot,O15066,9371
19,RACGAP1,uniprot:Q9H0H5,uniprot,Q9H0H5,29127
20,SPTBN4,uniprot:Q9H254,uniprot,Q9H254,57731
21,GBF1,uniprot:Q92538,uniprot,Q92538,8729
22,DYNC1I2,uniprot:Q13409,uniprot,Q13409,1781
23,INS,uniprot:P01308,uniprot,P01308,3630
24,CYTH3,uniprot:O43739,uniprot,O43739,9265
25,CAPZB,uniprot:P47756,uniprot,P47756,832
26,RAB11FIP3,uniprot:O75154,uniprot,O75154,9727
27,ACAP2,uniprot:Q15057,uniprot,Q15057,23527
28,KIF3C,uniprot:O14782,uniprot,O14782,3797
29,DYNC1LI1,uniprot:Q9Y6G9,uniprot,Q9Y6G9,51143
30,KIFAP3,uniprot:Q92845,uniprot,Q92845,22920
31,COPA,uniprot:P53621,uniprot,P53621,1314
32,YKT6,uniprot:O15498,uniprot,O15498,10652
33,COPB1,uniprot:P53618,uniprot,P53618,1315
34,IQSEC1,uniprot:Q6DN90,uniprot,Q6DN90,9922
35,KIF20A,uniprot:O95235,uniprot,O95235,10112
36,SURF4,uniprot:O15260,uniprot,O15260,6836
37,GGA1,uniprot:Q9UJY5,uniprot,Q9UJY5,26088
38,CDC5L,uniprot:Q99459,uniprot,Q99459,988
39,DYNC1I1,uniprot:O14576,uniprot,O14576,1780
40,RAB1A,uniprot:P62820,uniprot,P62820,5861
41,ACTR1A,uniprot:P61163,uniprot,P61163,10121
42,CAPZA2,uniprot:P47755,uniprot,P47755,830
43,CAPZA1,uniprot:P52907,uniprot,P52907,829
44,CD59,uniprot:P13987,uniprot,P13987,966
45,SPTBN5,uniprot:Q9NRC6,uniprot,Q9NRC6,51332
46,FOLR1,uniprot:P15328,uniprot,P15328,2348
47,USO1,uniprot:O60763,uniprot,O60763,8615
48,CENPE,uniprot:Q02224,uniprot,Q02224,1062
49,KIFC1,uniprot:Q9BW19,uniprot,Q9BW19,3833
50,KIF9,uniprot:Q9HAQ2,uniprot,Q9HAQ2,64147
51,KIF4A,uniprot:O95239,uniprot,O95239,24137
52,KIF27,uniprot:Q86VH2,uniprot,Q86VH2,55582
53,ARF1,uniprot:P84077,uniprot,P84077,375
54,ARF3,uniprot:P61204,uniprot,P61204,377
55,KLC2,uniprot:Q9H0B6,uniprot,Q9H0B6,64837
56,KIF21B,uniprot:O75037,uniprot,O75037,23046
57,DCTN4,uniprot:Q9UJW0,uniprot,Q9UJW0,51164
58,KIF6,uniprot:Q6ZMV9,uniprot,Q6ZMV9,221458
59,KIF18B,uniprot:Q86Y91,uniprot,Q86Y91,146909
60,KIF1A,uniprot:Q12756,uniprot,Q12756,547
61,KIF26A,uniprot:Q9ULI4,uniprot,Q9ULI4,26153
62,KIF5A,uniprot:Q12840,uniprot,Q12840,3798
63,TMED3,uniprot:Q9Y3Q3,uniprot,Q9Y3Q3,23423
64,ACTR10,uniprot:Q9NZ32,uniprot,Q9NZ32,55860
