Chr,Gene,nSNPs,Start,Stop,Test-Stat,Pvalue,Error,Best-SNP,SNP-pvalue
1,A3GALT2,89,33772366.0,33786699.0,22.0094371941834,0.926363824760052,1.70537863543575e-14,rs3935892,0.237699999999999
1,AADACL3,134,12776117.0,12788726.0,145.008729389007,0.335202277604948,1.09173047466403e-14,rs848578,0.0152800000000001
1,AADACL4,117,12704565.0,12727097.0,65.4590149377426,0.841968581258852,1.3202258284999201e-14,rs7515911,0.1168
1,ABCA4,346,94458393.0,94586705.0,569.682302340699,0.0410674888806516,1.84339108821784e-14,rs3789441,0.0002177999999999
1,ABCB10,87,229652328.0,229694442.0,43.3833780810644,0.694219350349631,1.14029262649929e-14,rs2295625,0.0560600000000002
1,ABCD3,100,94883932.0,94984219.0,81.6901254933733,0.510059066642484,4.908487329907451e-15,rs4148038,0.00809
1,ABHD7,88,92495557.0,92529093.0,18.4903514692654,0.983371377873604,2.1757824666676402e-14,rs1963186,0.133700000000001
1,ABL2,177,179068461.0,179198767.0,143.108094042619,0.495395378319798,5.5301125683446004e-15,rs429931,0.0176599999999999
1,ACADM,139,76190042.0,76229355.0,94.8095302582058,0.598584789307444,1.45629664308751e-14,rs1694428,0.02599
1,ACBD3,78,226332379.0,226374423.0,60.4854258325216,0.544299664339189,7.435335218486611e-15,rs9659351,0.0505799999999999
1,ACBD6,290,180257364.0,180471479.0,225.708718013758,0.549338270464745,4.7712503519527805e-15,rs12760195,0.0239600000000001
1,ACOT11,198,55013900.0,55100417.0,97.8301124260775,0.953655039531345,1.57266416327727e-14,rs299871,0.04095
1,ACOT7,127,6324331.0,6453826.0,61.7964893858857,0.839465852970909,1.26295880173798e-14,rs1043971,0.01263
1,ACP6,103,147119167.0,147142634.0,197.839262082027,0.0864475342836704,3.69942489504896e-14,rs12059427,0.0115400000000001
1,ACTA1,57,229566992.0,229569843.0,26.5168749148924,0.852375592348352,1.56631469062706e-14,rs867325,0.0498800000000001
1,ACTL8,171,18081843.0,18153558.0,116.920722420189,0.740517258933011,4.60816679444724e-15,rs576091,0.0188
1,ACTN2,244,236849769.0,236927558.0,427.220181086365,0.0722273421069427,9.9375580952619e-15,rs12143369,0.0002572999999999
1,ACTRT2,94,2938045.0,2939467.0,91.0987806897686,0.350422601015405,1.27214125335677e-14,rs2297829,0.0225799999999999
1,ADAM15,63,155023761.0,155035252.0,47.2933756780478,0.574232041631131,7.217529592364591e-15,rs4845710,0.002838
1,ADAM30,79,120436155.0,120439113.0,56.8554380130289,0.580053787502139,1.07023308275651e-14,rs12060624,0.0862200000000007
1,ADAMTS4,79,161159537.0,161168845.0,28.9123609213554,0.957319081473917,1.71154792108456e-14,rs2307420,0.139300000000001
