Chr,Gene,nSNPs,Start,Stop,Test-Stat,Pvalue,Error,Best-SNP,SNP-pvalue
1,A3GALT2,89,33772366.0,33786699.0,242.644949511159,0.039346386509708,1.01775465278681e-13,rs12034407,0.0013999999999999
1,AADACL3,133,12776117.0,12788726.0,181.875486033628,0.213242739852819,2.29678388583207e-14,rs3000870,0.0061999999999999
1,AADACL4,115,12704565.0,12727097.0,108.047040893497,0.431211296974109,4.167977874526821e-15,rs3000870,0.0061999999999999
1,ABCA4,346,94458393.0,94586705.0,449.555424819997,0.162139019356868,1.2781528911347901e-14,rs581244,0.002
1,ABCB10,85,229652328.0,229694442.0,29.4815657292293,0.843688050597006,1.5922755599710702e-14,rs348326,0.0883
1,ABCD3,100,94883932.0,94984219.0,146.521007422664,0.169896191897024,2.45078721171491e-14,rs681187,0.0114000000000001
1,ABHD7,89,92495557.0,92529093.0,83.0564270269635,0.440009434361158,7.152549171594531e-15,rs1927999,0.0700000000000004
1,ABL2,180,179068461.0,179198767.0,307.66312540998,0.12393899545538,3.60168143881166e-14,rs12128939,0.0304
1,ACADM,140,76190042.0,76229355.0,173.884411483165,0.274442987821044,2.31614589163985e-14,rs1146614,0.0244999999999999
1,ACBD3,78,226332379.0,226374423.0,254.620241028635,0.011007825518842,8.137039511020571e-14,rs2377028,0.0013999999999999
1,ACBD6,293,180257364.0,180471479.0,989.59365608617,0.0075506766591992,6.45062578577463e-14,rs1538622,9.12999999999986e-05
1,ACOT11,199,55013900.0,55100417.0,145.113541825513,0.741848940901613,8.59899504109586e-15,rs300280,0.0300000000000001
1,ACOT7,126,6324331.0,6453826.0,82.1142292737449,0.677693256287358,1.0470785419477e-14,rs11121611,0.0071
1,ACP6,104,147119167.0,147142634.0,127.791680413537,0.271541974725162,1.52695479191851e-14,rs11807878,0.0133
1,ACTA1,54,229566992.0,229569843.0,45.7808992281376,0.470083166700619,5.17075955534176e-15,rs485431,0.0359
1,ACTL8,170,18081843.0,18153558.0,121.732098672494,0.69971342297889,7.893088864455e-15,rs16830724,0.0754999999999998
1,ACTN2,240,236849769.0,236927558.0,260.925851602722,0.333096315083493,6.262792010241781e-15,rs707217,0.0033
1,ACTRT2,92,2938045.0,2939467.0,46.0596809758699,0.665026885801509,1.17052828169178e-14,rs3795263,0.0362999999999997
1,ADAM15,63,155023761.0,155035252.0,421.240114390054,3.59790537924898e-05,1.1019696527892e-13,rs11264295,1.09e-05
1,ADAM30,78,120436155.0,120439113.0,22.8973681051996,0.934394086481544,2.1341202037293502e-14,rs12075536,0.0555
1,ADAMTS4,79,161159537.0,161168845.0,130.938732484822,0.10378845627107,2.6731536451375e-14,rs4575098,0.0102
1,ADAMTSL4,51,150521897.0,150533412.0,197.348668585614,0.0026445069739032,6.99547637376526e-14,rs12132918,7.16999999999987e-07
1,ADAR,91,154554533.0,154600437.0,257.328446799299,0.0241831537367772,8.27549732309688e-14,rs7543174,0.0026999999999999
1,ADC,60,33546713.0,33585995.0,166.238823010757,0.0620547248423333,9.29124602390757e-14,rs804429,0.0037
1,ADIPOR1,102,202909960.0,202927700.0,188.887590653162,0.0764326904127133,3.7133444497603e-14,rs6666089,0.0084999999999999
1,ADORA1,203,203096835.0,203136533.0,278.461603482963,0.165085189930714,1.70764635782891e-14,rs6427992,0.0167000000000001
1,ADORA3,194,112025969.0,112106597.0,252.974441153295,0.174616270172998,1.2857456375427201e-14,rs1338078,3.56000000000003e-05
1,ADPRHL2,36,36554485.0,36559533.0,338.137669630857,7.13628393770316e-05,6.79217970388874e-13,rs558120,1.48999999999997e-05
1,ADSS,141,244571795.0,244615413.0,393.216802910942,0.0077883644438949,6.19725120326813e-14,rs3006014,9.59000000000012e-05
1,AFAR3,87,19592475.0,19600435.0,81.185352912021,0.468315976805651,3.72965835996306e-15,rs2227295,0.0484999999999999
1,AGBL4,973,48998526.0,50489626.0,5042.8865620748,5.45487282035961e-05,1.3085782924210701e-14,rs12128108,1.27000000000002e-06
1,AGL,186,100315639.0,100389579.0,128.248079250425,0.637886077832559,8.846223545636501e-15,rs12141927,0.0294
1,AGMAT,70,15899151.0,15911605.0,80.5934818716063,0.309983582095781,9.063996402866221e-14,rs556258,0.0446000000000002
